,code,dealerId,name,url,regionId,state,lat,long,
9076,9076,9076,Earl Stewart Toyota of North Palm Beach,https://www.earlstewarttoyota.com,50,FL,26.803403,-80.054792,0
9079,9079,9079,Lakeland Toyota,https://www.lakelandtoyota.com,50,FL,28.077868,-81.981217,0
9095,9095,9095,DeLuca Toyota,https://www.delucatoyota.com,50,FL,29.17816,-82.15404,0
9096,9096,9096,Arlington Toyota,https://www.arlingtontoyota.com,50,FL,30.325258,-81.516694,0
9107,9107,9107,Toyota of Hollywood,https://www.toyotaofhollywood.com,50,FL,26.026041,-80.207999,0
9108,,,,,,,,,9108
9112,9112,9112,Germain Toyota of Naples,https://www.germaintoyotaofnaples.com,50,FL,26.291656,-81.802461,0
,9113,9113,Ernie Palmer Toyota,https://www.erniepalmertoyota.com,50,FL,30.299982,-81.730869,-9113
9126,9126,9126,Village Cadillac-Toyota,https://www.villagetoyota.com,50,FL,28.826629,-82.578924,0
9140,9140,9140,Toyota of Vero Beach,https://www.verobeachtoyota.com,50,FL,27.584101,-80.377854,0
9154,9154,9154,Stadium Toyota,https://www.stadiumtoyota.com,50,FL,27.99287,-82.50564,0
9156,9156,9156,Ed Morse Delray Toyota,https://www.delraytoyota.com,50,FL,26.42908,-80.073352,0
9158,9158,9158,Lipton Toyota,https://www.liptontoyota.com,50,FL,26.165544,-80.165205,0
9159,9159,9159,Al Hendrickson Toyota,https://www.alhendricksontoyota.com,50,FL,26.274383,-80.196033,0
9163,9163,9163,Headquarter Toyota,https://www.headquartertoyota.com,50,FL,25.925401,-80.296366,0
9168,9168,9168,Gettel Toyota of Bradenton,https://www.getteltoyotaofbradenton.com,50,FL,27.428316,-82.575292,0
9174,9174,9174,Panama City Toyota,https://www.panamacitytoyota.com,50,FL,30.175111,-85.67423,0
9175,9175,9175,Bev Smith Toyota,https://www.bevsmithtoyota.com,50,FL,27.40061,-80.3251,0
9178,9178,9178,Parks Toyota of Deland,https://www.parkstoyotaofdeland.com,50,FL,28.99834,-81.30203,0
9182,9182,9182,Gatorland Toyota,https://www.gatorlandtoyota.com,50,FL,29.679864,-82.31909,0
9183,9183,9183,Toyota of Orlando,https://www.toyotaoforlando.com,50,FL,28.504436,-81.427461,0
9189,9189,9189,Bob Tyler Toyota,https://www.bobtylertoyota.com,50,FL,30.495991,-87.263323,0
9190,,,,,,,,,9190
9193,9193,9193,Palm Beach Toyota,https://www.palmbeachtoyota.com,50,FL,26.674539,-80.085171,0
9194,9194,9194,Phillips Toyota,https://www.phillipstoyota.com,50,FL,28.83155,-81.813128,0
